#step pe ke etotal temp press vol
182000 -1810.5933646974594922 8.5892571482064656863 -1802.0041075492529217 271.22197984273526572 3419.1682741102681575 2683.2073089264999908
183000 -1811.5471844301891906 8.3938006535188165458 -1803.1533837766703527 265.05007270948863152 3341.3619360214893277 2683.2073089264999908
184000 -1811.6082014272637934 9.0176175302473637885 -1802.5905838970163586 284.74826609760452811 3589.6878199671323273 2683.2073089264999908
185000 -1811.4379255740914232 9.6961928357564612924 -1801.7417327383350312 306.17556005992315704 3859.8116637591256222 2683.2073089264999908
186000 -1810.5097432640181978 9.4596803715807720181 -1801.0500628924373814 298.70723332521720295 3765.661971883849219 2683.2073089264999908
187000 -1811.4488779937303207 9.9096401590128948556 -1801.539237834717369 312.91556150671073055 3944.7797003750224576 2683.2073089264999908
188000 -1810.5984997489149464 9.9060002097594761494 -1800.6924995391555058 312.80062325000187684 3943.3307276883383565 2683.2073089264999908
189000 -1811.2701702704334821 9.4805663966004392051 -1801.7896038738331299 299.36674892233281753 3773.9761756487732782 2683.2073089264999908
190000 -1812.0105439837016092 9.0003794911879069218 -1803.0101644925136952 284.20394253135896179 3582.82578810070072 2683.2073089264999908
191000 -1811.4459556304318539 8.9685900855094971007 -1802.4773655449223497 283.20013214387711287 3570.1712214166504964 2683.2073089264999908
192000 -1810.4917402806463542 8.7582390298014569652 -1801.7335012508449381 276.55790117946162354 3486.435731409494565 2683.2073089264999908
193000 -1810.8916256512411564 8.5330692661498055429 -1802.3585563850913331 269.44774158771230077 3396.801284695159211 2683.2073089264999908
194000 -1811.1703814675199737 8.2805336079845783814 -1802.8898478595353936 261.47345230906807956 3296.2731603671541052 2683.2073089264999908
195000 -1811.0549744937625292 8.1437098585256428862 -1802.9112646352368756 257.15298459254290719 3241.8070505252235307 2683.2073089264999908
196000 -1811.250540551947779 8.6443765219951806955 -1802.6061640299526516 272.9624779357267812 3441.1099171296004897 2683.2073089264999908
197000 -1812.0197430184553014 9.6436367581153561446 -1802.3761062603398386 304.51600287300561831 3838.8904047746209471 2683.2073089264999908
198000 -1810.1774150305002422 9.3928525330693588558 -1800.7845624974308976 296.59701839545920166 3739.0594821314844012 2683.2073089264999908
199000 -1810.4244056803977401 8.955591063216873593 -1801.4688146171808967 282.78966351994478146 3564.9966360188113867 2683.2073089264999908
200000 -1811.652558474714624 8.9246753609314630751 -1802.727883113783264 281.81344196348243258 3552.6898687859566053 2683.2073089264999908
201000 -1811.8662994411256477 8.8335942804758094127 -1803.0327051606498117 278.93738521711338763 3516.4327704953684588 2683.2073089264999908
202000 -1810.3487264878310725 8.9959312129672728275 -1801.3527952748638654 284.0634797643147067 3581.0550398853461047 2683.2073089264999908
203000 -1810.5517531327666347 9.3521655561903003218 -1801.1995875765762776 295.31225043094923421 3722.8630150664153007 2683.2073089264999908
204000 -1811.1301415229995655 9.0424649806298962318 -1802.0876765423697634 285.53287116536665735 3599.5789680110847257 2683.2073089264999908
205000 -1810.6760219640609648 8.5345305263907498272 -1802.1414914376703109 269.49388363338351837 3397.3829758204615246 2683.2073089264999908
206000 -1811.4220070636497439 8.4067866988378643356 -1803.0152203648119666 265.46013156102679886 3346.531355610972696 2683.2073089264999908
207000 -1811.3365725237656534 8.4950312099662497189 -1802.8415413137993255 268.24661828572482136 3381.6592866541768672 2683.2073089264999908
208000 -1812.2129821756616366 9.2462491079158581897 -1802.9667330677457358 291.96773899029415134 3680.7003281893516942 2683.2073089264999908
209000 -1811.4731964125244303 8.6135772631900540119 -1802.8596191493343213 271.98993330157765058 3428.8495031315651431 2683.2073089264999908
210000 -1811.372708141117073 9.4541073985127255241 -1801.9186007426044398 298.53125619901817345 3763.4435108018319625 2683.2073089264999908
211000 -1811.3932392818528569 9.0249586382784450223 -1802.3682806435745078 284.98007541709210955 3592.610131319975153 2683.2073089264999908
212000 -1810.5558289560453886 8.5273788239269592282 -1802.0284501321184507 269.26805515159441029 3394.5360620829715117 2683.2073089264999908
213000 -1811.3783055423768928 8.7179386543899237694 -1802.6603668879870384 275.28534088479119646 3470.3931607116751366 2683.2073089264999908
214000 -1810.5963826685899676 8.3706166102460919376 -1802.2257660583438792 264.31799285570275515 3332.1329487114221592 2683.2073089264999908
215000 -1810.5356586274315305 8.9335492855318818783 -1801.602109341899677 282.09365285454919103 3556.2223560473175894 2683.2073089264999908
216000 -1811.0130716015976304 8.8415069060378392862 -1802.1715646955597094 279.18724127959438874 3519.5825886716997957 2683.2073089264999908
217000 -1811.3104380690092512 9.3308493570174118048 -1801.9795887119919371 294.63915127433591579 3714.3775697387277432 2683.2073089264999908
